Family_name;Number_of_sequences
CLU_195720_0_0; 47
CLU_196480_1_0; 167
CLU_199465_0_0; 214
CLU_199467_0_0; 219
CLU_200885_3_1; 34
CLU_2010223_0_0; 4
CLU_2021527_0_0; 5
CLU_2021615_0_0; 18
CLU_2021633_0_0; 3
CLU_205640_0_0; 145
CLU_2067800_0_0; 3
CLU_208825_0_0; 190
CLU_2103481_0_0; 3
CLU_2115513_0_0; 12
CLU_2152743_0_0; 19
CLU_2165382_0_0; 4
CLU_219591_0_0; 18
CLU_2216919_0_0; 22
CLU_2230518_0_0; 3
CLU_2257500_0_0; 19
CLU_225877_0_0; 5
CLU_2271176_0_0; 19
CLU_2299495_0_0; 16
CLU_2313893_0_0; 9
CLU_2340347_0_0; 7
CLU_2353077_0_0; 4
CLU_2353106_0_0; 5
CLU_2366334_0_0; 19
CLU_2433870_0_0; 11
CLU_2504782_0_0; 8
CLU_2565803_0_0; 20
CLU_2629745_0_0; 13
CLU_2730360_0_0; 7
CLU_2766259_0_0; 18
CLU_2802469_0_0; 18
CLU_2911298_0_0; 38
CLU_2929990_0_0; 39
CLU_304340_0_0; 19
CLU_3075520_0_0; 39
CLU_361186_0_0; 97
CLU_362759_0_0; 8
CLU_392630_0_0; 146
CLU_395770_0_0; 8
CLU_415991_0_0; 17
CLU_440506_0_0; 3
CLU_473827_0_0; 19
CLU_493170_0_0; 98
CLU_506822_0_0; 78
CLU_507744_0_0; 29
CLU_527490_0_0; 25
CLU_542524_0_0; 42
CLU_588790_0_0; 101
CLU_617682_0_0; 98
CLU_627936_0_0; 17
CLU_629476_0_0; 21
CLU_643435_0_0; 29
CLU_648316_0_0; 31
CLU_660112_0_0; 24
CLU_665023_0_0; 24
CLU_668371_0_0; 69
CLU_675459_0_0; 210
CLU_695624_0_0; 8
CLU_707170_0_0; 8
CLU_707177_0_0; 36
CLU_745168_0_0; 20
CLU_772960_0_0; 29
CLU_777585_0_0; 29
CLU_791347_0_0; 97
CLU_803157_0_0; 4
CLU_815400_0_0; 7
CLU_820433_0_0; 53
CLU_835811_0_0; 21
CLU_851534_0_0; 3
CLU_862228_0_0; 4
CLU_873208_0_0; 12
CLU_876031_0_0; 127
CLU_929391_0_0; 21
CLU_955157_0_0; 22
CLU_965070_0_0; 5
CLU_999709_0_0; 21
